,task1_painting_10,task2_painting_10,task3_painting_10,task4_painting_10,task5_painting_10,task6_painting_10,task7_painting_10,task8_painting_10,task9_painting_10,task10_painting_10,task11_painting_10,task12_painting_10,task13_painting_10,task14_painting_10,task15_painting_10,task1_infograph_10,task2_infograph_10,task3_infograph_10,task4_infograph_10,task5_infograph_10,task6_infograph_10,task7_infograph_10,task8_infograph_10,task9_infograph_10,task10_infograph_10,task11_infograph_10,task12_infograph_10,task13_infograph_10,task14_infograph_10,task15_infograph_10,task1_quickdraw_10,task2_quickdraw_10,task3_quickdraw_10,task4_quickdraw_10,task5_quickdraw_10,task6_quickdraw_10,task7_quickdraw_10,task8_quickdraw_10,task9_quickdraw_10,task10_quickdraw_10,task11_quickdraw_10,task12_quickdraw_10,task13_quickdraw_10,task14_quickdraw_10,task15_quickdraw_10,task1_real_10,task2_real_10,task3_real_10,task4_real_10,task5_real_10,task6_real_10,task7_real_10,task8_real_10,task9_real_10,task10_real_10,task11_real_10,task12_real_10,task13_real_10,task14_real_10,task15_real_10,task1_sketch_10,task2_sketch_10,task3_sketch_10,task4_sketch_10,task5_sketch_10,task6_sketch_10,task7_sketch_10,task8_sketch_10,task9_sketch_10,task10_sketch_10,task11_sketch_10,task12_sketch_10,task13_sketch_10,task14_sketch_10,task15_sketch_10,task1_clipart_10,task2_clipart_10,task3_clipart_10,task4_clipart_10,task5_clipart_10,task6_clipart_10,task7_clipart_10,task8_clipart_10,task9_clipart_10,task10_clipart_10,task11_clipart_10,task12_clipart_10,task13_clipart_10,task14_clipart_10,task15_clipart_10,task1_painting_30,task2_painting_30,task3_painting_30,task4_painting_30,task5_painting_30,task6_painting_30,task7_painting_30,task8_painting_30,task9_painting_30,task10_painting_30,task11_painting_30,task12_painting_30,task13_painting_30,task14_painting_30,task15_painting_30,task1_infograph_30,task2_infograph_30,task3_infograph_30,task4_infograph_30,task5_infograph_30,task6_infograph_30,task7_infograph_30,task8_infograph_30,task9_infograph_30,task10_infograph_30,task11_infograph_30,task12_infograph_30,task13_infograph_30,task14_infograph_30,task15_infograph_30,task1_quickdraw_30,task2_quickdraw_30,task3_quickdraw_30,task4_quickdraw_30,task5_quickdraw_30,task6_quickdraw_30,task7_quickdraw_30,task8_quickdraw_30,task9_quickdraw_30,task10_quickdraw_30,task11_quickdraw_30,task12_quickdraw_30,task13_quickdraw_30,task14_quickdraw_30,task15_quickdraw_30,task1_real_30,task2_real_30,task3_real_30,task4_real_30,task5_real_30,task6_real_30,task7_real_30,task8_real_30,task9_real_30,task10_real_30,task11_real_30,task12_real_30,task13_real_30,task14_real_30,task15_real_30,task1_sketch_30,task2_sketch_30,task3_sketch_30,task4_sketch_30,task5_sketch_30,task6_sketch_30,task7_sketch_30,task8_sketch_30,task9_sketch_30,task10_sketch_30,task11_sketch_30,task12_sketch_30,task13_sketch_30,task14_sketch_30,task15_sketch_30,task1_clipart_30,task2_clipart_30,task3_clipart_30,task4_clipart_30,task5_clipart_30,task6_clipart_30,task7_clipart_30,task8_clipart_30,task9_clipart_30,task10_clipart_30,task11_clipart_30,task12_clipart_30,task13_clipart_30,task14_clipart_30,task15_clipart_30,task1_painting_50,task2_painting_50,task3_painting_50,task4_painting_50,task5_painting_50,task6_painting_50,task7_painting_50,task8_painting_50,task9_painting_50,task10_painting_50,task11_painting_50,task12_painting_50,task13_painting_50,task14_painting_50,task15_painting_50,task1_infograph_50,task2_infograph_50,task3_infograph_50,task4_infograph_50,task5_infograph_50,task6_infograph_50,task7_infograph_50,task8_infograph_50,task9_infograph_50,task10_infograph_50,task11_infograph_50,task12_infograph_50,task13_infograph_50,task14_infograph_50,task15_infograph_50,task1_quickdraw_50,task2_quickdraw_50,task3_quickdraw_50,task4_quickdraw_50,task5_quickdraw_50,task6_quickdraw_50,task7_quickdraw_50,task8_quickdraw_50,task9_quickdraw_50,task10_quickdraw_50,task11_quickdraw_50,task12_quickdraw_50,task13_quickdraw_50,task14_quickdraw_50,task15_quickdraw_50,task1_real_50,task2_real_50,task3_real_50,task4_real_50,task5_real_50,task6_real_50,task7_real_50,task8_real_50,task9_real_50,task10_real_50,task11_real_50,task12_real_50,task13_real_50,task14_real_50,task15_real_50,task1_sketch_50,task2_sketch_50,task3_sketch_50,task4_sketch_50,task5_sketch_50,task6_sketch_50,task7_sketch_50,task8_sketch_50,task9_sketch_50,task10_sketch_50,task11_sketch_50,task12_sketch_50,task13_sketch_50,task14_sketch_50,task15_sketch_50,task1_clipart_50,task2_clipart_50,task3_clipart_50,task4_clipart_50,task5_clipart_50,task6_clipart_50,task7_clipart_50,task8_clipart_50,task9_clipart_50,task10_clipart_50,task11_clipart_50,task12_clipart_50,task13_clipart_50,task14_clipart_50,task15_clipart_50
convnext_small,1.0,0.9,0.75,0.76,0.88,0.82,0.9,0.93,0.89,0.75,0.69,0.71,0.63,0.68,0.67,0.95,0.89,0.83,0.36,0.47,0.47,0.58,0.69,0.64,0.49,0.39,0.5,0.4,0.46,0.4,0.9,0.95,1.0,0.75,0.93,0.9,0.75,0.76,0.7,0.52,0.69,0.68,0.52,0.51,0.52,1.0,0.95,0.85,0.9,1.0,0.88,0.88,0.95,0.9,0.9,0.9,0.91,0.82,0.86,0.83,0.95,0.95,0.9,0.8,0.93,0.82,0.74,0.86,0.78,0.64,0.66,0.74,0.58,0.65,0.54,0.95,0.93,0.95,0.85,0.95,1.0,0.81,0.88,0.86,0.75,0.79,0.81,0.66,0.73,0.7,0.98,0.98,0.94,0.82,0.91,0.93,0.91,0.89,0.9,0.83,0.77,0.8,0.72,0.81,0.77,0.88,0.89,0.95,0.73,0.74,0.72,0.69,0.75,0.72,0.65,0.59,0.65,0.47,0.5,0.49,0.88,0.93,0.97,0.82,0.94,0.87,0.85,0.87,0.86,0.72,0.79,0.8,0.68,0.63,0.67,0.98,1.0,0.95,0.97,0.97,0.95,0.92,0.95,0.95,0.93,0.92,0.92,0.88,0.88,0.88,0.93,0.98,0.98,0.88,0.86,0.83,0.82,0.95,0.88,0.73,0.76,0.77,0.71,0.68,0.71,0.97,0.97,0.98,0.88,0.98,0.95,0.88,0.91,0.95,0.84,0.85,0.85,0.79,0.8,0.84,0.97,0.97,0.94,0.93,0.93,0.96,0.9,0.94,0.92,0.87,0.8,0.8,0.79,0.8,0.79,0.97,0.92,0.85,0.8,0.87,0.78,0.72,0.8,0.73,0.66,0.66,0.66,0.5,0.53,0.5,0.94,0.99,0.97,0.87,0.94,0.92,0.86,0.89,0.9,0.78,0.83,0.81,0.71,0.69,0.71,1.0,1.0,0.99,0.98,0.98,0.97,0.95,0.97,0.94,0.96,0.93,0.95,0.87,0.9,0.9,0.96,0.99,0.99,0.88,0.9,0.84,0.82,0.94,0.92,0.75,0.8,0.8,0.76,0.74,0.76,0.98,0.89,0.98,0.9,0.96,0.98,0.9,0.92,0.94,0.84,0.87,0.86,0.82,0.83,0.82
convnext_tiny,0.5,0.95,0.65,0.68,0.97,0.78,0.85,0.86,0.86,0.78,0.63,0.69,0.61,0.68,0.66,0.85,0.78,0.83,0.22,0.62,0.47,0.61,0.66,0.57,0.47,0.48,0.59,0.42,0.4,0.39,0.9,1.0,1.0,0.8,0.95,0.88,0.68,0.74,0.75,0.62,0.6,0.64,0.54,0.52,0.51,0.9,1.0,0.95,1.0,0.85,0.93,0.84,0.95,0.88,0.88,0.91,0.89,0.83,0.86,0.81,0.95,0.95,0.9,0.78,0.85,0.82,0.78,0.88,0.79,0.62,0.59,0.72,0.6,0.59,0.55,0.9,0.93,0.95,0.85,0.82,0.94,0.76,0.88,0.85,0.73,0.77,0.78,0.68,0.72,0.64,0.97,0.91,0.87,0.82,0.95,0.94,0.9,0.88,0.89,0.84,0.76,0.74,0.73,0.79,0.74,0.97,0.92,0.95,0.74,0.78,0.67,0.72,0.74,0.7,0.63,0.6,0.61,0.47,0.47,0.5,0.95,0.98,0.98,0.86,0.96,0.88,0.85,0.87,0.82,0.72,0.74,0.78,0.66,0.62,0.66,1.0,0.98,0.93,0.97,0.97,0.96,0.92,0.96,0.92,0.92,0.91,0.92,0.88,0.87,0.89,0.95,0.98,0.92,0.86,0.86,0.85,0.81,0.93,0.9,0.72,0.74,0.75,0.7,0.66,0.7,0.95,0.97,0.97,0.8,0.98,0.96,0.88,0.92,0.94,0.81,0.84,0.83,0.77,0.79,0.81,0.94,0.97,0.93,0.9,0.93,0.93,0.89,0.92,0.9,0.88,0.79,0.82,0.77,0.82,0.81,0.82,0.89,0.95,0.7,0.81,0.81,0.77,0.74,0.77,0.65,0.66,0.66,0.53,0.53,0.51,0.97,0.97,0.99,0.85,0.94,0.89,0.89,0.88,0.9,0.77,0.86,0.78,0.72,0.67,0.71,0.99,1.0,0.97,0.99,0.97,0.96,0.94,0.98,0.93,0.95,0.93,0.93,0.87,0.89,0.89,0.94,0.97,0.99,0.87,0.91,0.82,0.81,0.93,0.9,0.77,0.79,0.79,0.74,0.74,0.73,0.99,0.97,0.98,0.9,0.95,0.99,0.9,0.94,0.92,0.85,0.85,0.84,0.82,0.81,0.81
densenet121,0.55,0.95,0.75,0.34,0.93,0.65,0.84,0.82,0.81,0.71,0.66,0.69,0.62,0.69,0.64,0.8,0.89,0.78,0.53,0.68,0.5,0.47,0.57,0.49,0.36,0.41,0.47,0.26,0.33,0.29,0.6,0.6,1.0,0.6,0.88,0.82,0.74,0.74,0.8,0.66,0.68,0.71,0.53,0.53,0.57,0.95,0.95,0.85,0.9,0.82,0.97,0.88,0.94,0.85,0.84,0.92,0.88,0.86,0.88,0.85,0.95,1.0,0.9,0.7,0.8,0.72,0.64,0.86,0.72,0.59,0.57,0.65,0.53,0.55,0.48,0.95,0.93,0.95,0.76,0.93,0.89,0.76,0.86,0.85,0.68,0.68,0.74,0.65,0.68,0.68,0.88,0.96,0.87,0.85,0.88,0.86,0.89,0.87,0.86,0.79,0.74,0.77,0.7,0.76,0.72,0.85,0.89,0.85,0.59,0.77,0.73,0.65,0.62,0.66,0.53,0.55,0.5,0.4,0.38,0.4,0.93,0.97,0.98,0.75,0.94,0.84,0.9,0.91,0.86,0.72,0.78,0.79,0.67,0.63,0.69,0.98,1.0,0.93,0.94,0.96,0.97,0.95,0.97,0.92,0.95,0.92,0.94,0.86,0.89,0.88,0.98,0.97,0.98,0.71,0.82,0.72,0.73,0.94,0.86,0.7,0.72,0.74,0.64,0.62,0.63,0.98,0.97,0.93,0.8,0.97,0.95,0.85,0.93,0.91,0.79,0.8,0.81,0.76,0.74,0.79,0.89,0.97,0.9,0.84,0.92,0.88,0.89,0.92,0.89,0.84,0.77,0.78,0.74,0.78,0.76,0.88,0.97,0.9,0.68,0.8,0.77,0.68,0.73,0.7,0.56,0.59,0.57,0.45,0.41,0.42,0.9,0.98,0.99,0.84,0.93,0.85,0.92,0.91,0.9,0.78,0.82,0.83,0.72,0.67,0.72,1.0,1.0,0.97,0.96,0.96,0.96,0.95,0.95,0.94,0.96,0.93,0.94,0.85,0.9,0.88,0.98,0.99,0.93,0.78,0.88,0.79,0.81,0.94,0.86,0.74,0.76,0.77,0.69,0.69,0.68,0.98,0.89,0.94,0.82,0.95,0.97,0.9,0.93,0.94,0.82,0.79,0.83,0.78,0.79,0.78
efficientnet_b0,0.55,0.9,0.45,0.55,0.9,0.72,0.71,0.82,0.78,0.67,0.56,0.59,0.54,0.63,0.61,0.7,0.83,0.61,0.42,0.28,0.57,0.47,0.55,0.34,0.31,0.39,0.39,0.22,0.24,0.23,0.6,0.5,0.65,0.68,0.82,0.3,0.11,0.79,0.74,0.56,0.63,0.65,0.53,0.43,0.46,1.0,0.9,0.9,0.95,0.8,1.0,0.86,0.9,0.9,0.79,0.89,0.88,0.82,0.79,0.8,0.85,0.85,0.7,0.57,0.88,0.38,0.59,0.69,0.7,0.48,0.57,0.64,0.42,0.42,0.41,0.95,0.79,0.9,0.64,0.85,0.81,0.65,0.81,0.78,0.66,0.7,0.68,0.56,0.6,0.58,0.65,0.94,0.55,0.68,0.85,0.82,0.84,0.87,0.86,0.75,0.73,0.7,0.64,0.73,0.69,0.68,0.86,0.75,0.55,0.78,0.61,0.58,0.64,0.56,0.47,0.47,0.44,0.36,0.34,0.35,0.57,0.78,0.8,0.85,0.94,0.81,0.82,0.89,0.84,0.71,0.74,0.76,0.61,0.57,0.61,0.98,1.0,0.72,0.89,0.93,0.97,0.96,0.93,0.9,0.91,0.91,0.91,0.84,0.87,0.85,0.83,0.92,0.86,0.66,0.85,0.72,0.76,0.88,0.85,0.65,0.65,0.68,0.58,0.55,0.6,0.93,0.94,0.92,0.72,0.94,0.91,0.8,0.9,0.89,0.71,0.77,0.74,0.72,0.73,0.72,0.85,0.94,0.93,0.84,0.9,0.85,0.87,0.9,0.84,0.8,0.76,0.76,0.7,0.75,0.71,0.74,0.78,0.85,0.59,0.82,0.75,0.67,0.69,0.69,0.5,0.51,0.52,0.38,0.35,0.37,0.95,0.95,0.98,0.84,0.93,0.84,0.83,0.89,0.86,0.71,0.78,0.79,0.64,0.61,0.67,0.96,1.0,0.92,0.92,0.96,0.94,0.96,0.93,0.93,0.92,0.91,0.92,0.84,0.88,0.88,0.96,0.91,0.96,0.76,0.91,0.76,0.78,0.88,0.83,0.69,0.72,0.71,0.61,0.61,0.62,0.91,0.83,0.96,0.81,0.93,0.92,0.85,0.89,0.91,0.73,0.77,0.79,0.75,0.74,0.72
efficientnet_b3,0.8,0.95,0.4,0.58,0.97,0.53,0.82,0.79,0.82,0.7,0.65,0.62,0.58,0.65,0.62,0.8,0.67,0.78,0.22,0.53,0.33,0.42,0.55,0.46,0.29,0.32,0.27,0.26,0.25,0.24,0.5,0.45,1.0,0.45,0.75,0.6,0.09,0.75,0.74,0.59,0.65,0.62,0.49,0.49,0.52,0.9,1.0,0.85,0.93,0.93,0.97,0.91,0.93,0.89,0.82,0.92,0.82,0.81,0.84,0.83,0.85,0.75,0.9,0.45,0.82,0.75,0.75,0.86,0.71,0.57,0.61,0.64,0.53,0.5,0.49,0.95,0.86,0.95,0.73,0.85,0.94,0.75,0.88,0.76,0.69,0.66,0.68,0.6,0.66,0.6,0.85,0.89,0.87,0.85,0.86,0.93,0.88,0.89,0.86,0.76,0.74,0.74,0.67,0.75,0.7,0.97,0.7,0.8,0.58,0.71,0.61,0.48,0.64,0.58,0.47,0.5,0.44,0.35,0.31,0.34,0.9,0.5,0.95,0.38,0.95,0.8,0.8,0.87,0.83,0.71,0.76,0.73,0.63,0.56,0.61,1.0,0.98,0.85,0.92,0.97,0.94,0.95,0.96,0.92,0.93,0.92,0.9,0.84,0.86,0.87,0.9,0.95,0.92,0.73,0.88,0.75,0.73,0.92,0.86,0.68,0.72,0.7,0.66,0.61,0.65,0.9,0.85,0.88,0.8,0.88,0.92,0.84,0.92,0.88,0.76,0.81,0.78,0.74,0.74,0.77,0.91,0.97,0.91,0.87,0.91,0.92,0.87,0.91,0.89,0.8,0.75,0.77,0.71,0.75,0.74,0.79,0.76,0.75,0.59,0.75,0.62,0.59,0.69,0.57,0.49,0.48,0.46,0.4,0.33,0.37,0.87,0.98,0.98,0.83,0.94,0.85,0.84,0.88,0.88,0.76,0.78,0.78,0.66,0.64,0.66,0.99,1.0,0.95,0.94,0.97,0.98,0.95,0.95,0.92,0.93,0.91,0.91,0.83,0.88,0.88,0.96,0.95,0.96,0.78,0.89,0.8,0.79,0.91,0.88,0.71,0.76,0.76,0.68,0.65,0.68,0.92,0.74,0.93,0.79,0.95,0.95,0.83,0.94,0.88,0.75,0.79,0.8,0.76,0.77,0.77
mobilenet_v2,0.7,1.0,0.6,0.55,0.9,0.9,0.79,0.84,0.84,0.72,0.58,0.67,0.52,0.66,0.62,0.85,0.89,0.78,0.44,0.53,0.47,0.55,0.55,0.54,0.35,0.43,0.38,0.26,0.33,0.27,0.65,0.95,0.95,0.62,0.97,0.85,0.8,0.86,0.69,0.67,0.65,0.69,0.55,0.52,0.53,1.0,0.95,1.0,0.9,0.9,0.95,0.91,0.95,0.9,0.84,0.89,0.86,0.8,0.86,0.83,1.0,0.9,0.95,0.7,0.8,0.68,0.7,0.77,0.79,0.56,0.61,0.6,0.47,0.49,0.48,0.95,1.0,0.9,0.76,0.85,0.94,0.75,0.84,0.82,0.65,0.75,0.72,0.62,0.61,0.63,0.9,0.98,0.79,0.81,0.92,0.89,0.88,0.88,0.86,0.75,0.73,0.75,0.67,0.73,0.68,0.91,0.92,0.9,0.53,0.76,0.7,0.63,0.68,0.63,0.5,0.53,0.5,0.37,0.38,0.36,0.9,0.95,0.98,0.8,0.91,0.85,0.85,0.88,0.88,0.78,0.77,0.77,0.66,0.62,0.66,0.98,1.0,0.93,0.96,0.96,0.99,0.95,0.96,0.93,0.94,0.91,0.91,0.84,0.87,0.87,0.93,0.97,0.95,0.69,0.81,0.77,0.76,0.92,0.85,0.67,0.71,0.7,0.6,0.59,0.6,0.95,0.88,0.95,0.83,0.96,0.93,0.85,0.93,0.93,0.78,0.77,0.8,0.75,0.73,0.75,0.89,0.99,0.91,0.77,0.94,0.93,0.87,0.91,0.86,0.8,0.75,0.77,0.71,0.74,0.72,0.88,0.86,0.9,0.61,0.82,0.73,0.68,0.72,0.67,0.53,0.55,0.54,0.41,0.4,0.4,0.98,0.98,0.98,0.81,0.94,0.89,0.88,0.89,0.9,0.78,0.82,0.8,0.69,0.66,0.7,0.98,1.0,0.97,0.98,0.97,0.97,0.95,0.96,0.94,0.95,0.91,0.93,0.84,0.88,0.87,0.92,0.99,0.96,0.8,0.87,0.82,0.79,0.92,0.83,0.69,0.76,0.74,0.64,0.64,0.64,0.96,0.89,0.95,0.94,0.97,0.96,0.86,0.95,0.92,0.79,0.78,0.84,0.75,0.77,0.75
resnet101,0.7,1.0,0.65,0.66,0.95,0.85,0.93,0.88,0.84,0.77,0.71,0.69,0.64,0.69,0.67,0.65,0.94,0.78,0.58,0.7,0.5,0.56,0.55,0.53,0.32,0.4,0.45,0.33,0.35,0.28,0.85,0.85,1.0,0.53,0.95,0.85,0.68,0.86,0.64,0.71,0.65,0.64,0.56,0.57,0.55,1.0,0.95,0.95,0.9,0.9,0.93,0.88,0.94,0.9,0.88,0.94,0.89,0.88,0.88,0.85,0.95,0.95,0.95,0.72,0.9,0.68,0.72,0.9,0.82,0.62,0.62,0.71,0.52,0.56,0.53,0.95,0.86,0.95,0.88,0.93,0.97,0.85,0.93,0.85,0.73,0.77,0.81,0.64,0.7,0.71,0.9,0.98,0.87,0.76,0.93,0.89,0.89,0.88,0.9,0.8,0.76,0.76,0.71,0.78,0.72,0.94,0.95,0.9,0.61,0.77,0.68,0.65,0.71,0.66,0.57,0.55,0.51,0.41,0.39,0.39,0.93,0.98,0.97,0.76,0.94,0.9,0.85,0.9,0.85,0.73,0.79,0.76,0.63,0.63,0.63,0.98,1.0,0.97,0.94,0.96,0.97,0.95,0.96,0.93,0.95,0.93,0.94,0.87,0.89,0.87,0.98,0.97,0.98,0.76,0.83,0.76,0.77,0.92,0.82,0.74,0.72,0.75,0.65,0.63,0.65,1.0,0.94,0.95,0.87,0.97,0.97,0.88,0.94,0.95,0.83,0.83,0.82,0.77,0.78,0.8,0.91,1.0,0.93,0.83,0.94,0.91,0.9,0.92,0.89,0.83,0.78,0.8,0.74,0.77,0.77,0.88,0.95,0.9,0.64,0.79,0.74,0.69,0.72,0.73,0.56,0.56,0.57,0.45,0.43,0.43,0.91,0.94,0.99,0.83,0.94,0.9,0.88,0.9,0.9,0.79,0.79,0.82,0.69,0.67,0.69,0.99,1.0,0.99,0.96,0.96,0.96,0.96,0.97,0.95,0.95,0.92,0.93,0.87,0.89,0.9,0.98,0.99,0.97,0.79,0.88,0.84,0.8,0.93,0.85,0.75,0.76,0.79,0.69,0.69,0.69,0.99,0.89,0.95,0.89,0.97,0.97,0.88,0.95,0.94,0.81,0.49,0.85,0.79,0.8,0.79
resnet18,0.6,1.0,0.75,0.5,0.85,0.72,0.85,0.79,0.86,0.71,0.56,0.65,0.51,0.6,0.55,0.3,0.89,0.78,0.61,0.57,0.57,0.51,0.55,0.38,0.3,0.34,0.38,0.25,0.29,0.28,0.6,0.7,0.95,0.42,0.85,0.25,0.8,0.78,0.75,0.67,0.72,0.65,0.5,0.55,0.53,0.95,0.95,0.95,0.9,0.9,1.0,0.89,0.96,0.9,0.85,0.88,0.82,0.81,0.82,0.79,0.85,0.9,0.95,0.28,0.7,0.75,0.69,0.79,0.76,0.55,0.56,0.71,0.48,0.47,0.46,1.0,0.93,0.95,0.91,0.93,0.97,0.69,0.81,0.89,0.66,0.74,0.68,0.57,0.65,0.63,0.92,0.94,0.87,0.79,0.88,0.88,0.88,0.86,0.86,0.74,0.7,0.7,0.67,0.71,0.69,0.91,0.92,0.9,0.55,0.74,0.7,0.58,0.67,0.58,0.47,0.51,0.47,0.37,0.35,0.34,0.75,0.75,0.98,0.6,0.94,0.78,0.89,0.92,0.85,0.76,0.75,0.79,0.66,0.63,0.69,0.98,1.0,0.92,0.95,0.95,0.95,0.93,0.97,0.91,0.93,0.88,0.89,0.83,0.85,0.85,0.93,0.95,0.97,0.71,0.79,0.69,0.75,0.89,0.83,0.68,0.69,0.73,0.61,0.57,0.59,0.92,0.91,0.97,0.87,0.97,0.96,0.79,0.93,0.91,0.74,0.77,0.76,0.72,0.75,0.72,0.88,0.96,0.87,0.86,0.94,0.92,0.85,0.9,0.84,0.78,0.75,0.76,0.7,0.72,0.72,0.94,0.92,0.9,0.64,0.78,0.79,0.63,0.7,0.62,0.53,0.54,0.55,0.41,0.38,0.38,0.86,0.99,0.97,0.84,0.96,0.86,0.89,0.93,0.91,0.78,0.81,0.81,0.7,0.68,0.71,0.99,1.0,0.95,0.96,0.97,0.96,0.95,0.95,0.92,0.93,0.9,0.9,0.83,0.87,0.88,0.97,0.96,0.94,0.74,0.85,0.82,0.74,0.91,0.85,0.69,0.74,0.75,0.64,0.63,0.62,0.94,0.89,0.98,0.81,0.96,0.95,0.86,0.93,0.88,0.75,0.79,0.81,0.74,0.76,0.75
resnet50,0.75,1.0,0.75,0.79,0.9,0.78,0.82,0.86,0.88,0.7,0.69,0.71,0.59,0.66,0.62,0.75,0.89,0.72,0.61,0.72,0.62,0.58,0.6,0.53,0.33,0.4,0.42,0.33,0.34,0.31,0.75,1.0,0.8,0.72,0.8,0.8,0.71,0.7,0.78,0.61,0.6,0.63,0.53,0.47,0.52,0.85,1.0,1.0,0.9,0.9,0.97,0.88,0.94,0.9,0.87,0.92,0.83,0.86,0.87,0.83,1.0,0.9,0.9,0.7,0.72,0.7,0.71,0.85,0.75,0.49,0.63,0.68,0.55,0.52,0.47,0.95,0.93,1.0,0.85,0.9,0.97,0.78,0.91,0.88,0.68,0.76,0.79,0.6,0.69,0.66,0.88,0.98,0.85,0.81,0.95,0.88,0.89,0.89,0.88,0.79,0.76,0.78,0.69,0.76,0.72,0.85,0.95,0.85,0.64,0.76,0.72,0.62,0.65,0.66,0.52,0.56,0.54,0.41,0.36,0.4,0.85,0.98,0.97,0.82,0.91,0.87,0.83,0.9,0.85,0.68,0.74,0.76,0.6,0.61,0.65,0.98,1.0,0.95,0.96,0.95,0.97,0.94,0.97,0.93,0.94,0.93,0.93,0.86,0.88,0.87,1.0,0.98,0.93,0.76,0.85,0.75,0.8,0.92,0.87,0.7,0.71,0.75,0.64,0.6,0.65,0.97,0.97,0.97,0.82,0.99,0.98,0.86,0.92,0.92,0.78,0.8,0.81,0.75,0.77,0.78,0.88,1.0,0.88,0.8,0.94,0.91,0.88,0.91,0.89,0.8,0.78,0.8,0.75,0.77,0.76,0.88,0.89,0.95,0.65,0.8,0.78,0.68,0.73,0.71,0.6,0.58,0.58,0.45,0.41,0.43,0.78,0.99,0.98,0.84,0.94,0.88,0.84,0.91,0.86,0.74,0.8,0.79,0.66,0.65,0.67,0.98,0.99,0.98,0.96,0.95,0.97,0.96,0.96,0.95,0.95,0.92,0.94,0.86,0.89,0.89,0.98,0.99,0.91,0.84,0.89,0.82,0.83,0.93,0.87,0.73,0.73,0.76,0.67,0.67,0.68,0.95,0.89,0.94,0.88,0.97,0.95,0.86,0.93,0.95,0.8,0.8,0.84,0.78,0.78,0.77
wide_resnet50_2,0.7,0.95,0.75,0.61,0.85,0.68,0.84,0.86,0.79,0.72,0.64,0.67,0.56,0.65,0.61,0.45,0.89,0.78,0.47,0.65,0.45,0.57,0.51,0.47,0.34,0.38,0.35,0.25,0.3,0.27,0.9,0.8,0.85,0.38,0.85,0.33,0.66,0.71,0.74,0.57,0.58,0.59,0.49,0.43,0.43,0.85,1.0,0.8,0.93,0.85,0.95,0.89,0.91,0.9,0.84,0.93,0.84,0.87,0.86,0.82,0.85,0.8,0.95,0.68,0.78,0.57,0.74,0.79,0.79,0.53,0.61,0.61,0.47,0.47,0.46,0.95,0.79,0.95,0.82,0.85,0.83,0.7,0.79,0.82,0.63,0.71,0.72,0.58,0.65,0.6,0.82,0.94,0.74,0.76,0.82,0.84,0.88,0.84,0.88,0.79,0.74,0.72,0.67,0.74,0.69,0.76,0.89,0.6,0.62,0.73,0.65,0.58,0.65,0.6,0.51,0.48,0.49,0.37,0.34,0.33,0.78,0.55,0.77,0.78,0.86,0.82,0.82,0.85,0.81,0.67,0.7,0.71,0.58,0.54,0.57,0.97,1.0,0.85,0.92,0.94,0.93,0.94,0.96,0.95,0.93,0.91,0.92,0.85,0.87,0.85,0.92,0.95,0.93,0.62,0.83,0.67,0.77,0.86,0.85,0.63,0.67,0.69,0.61,0.54,0.57,0.95,0.88,0.93,0.77,0.96,0.9,0.82,0.88,0.86,0.75,0.78,0.74,0.73,0.71,0.73,0.88,0.94,0.9,0.85,0.88,0.88,0.87,0.87,0.87,0.82,0.75,0.76,0.7,0.74,0.71,0.85,0.78,0.6,0.61,0.78,0.71,0.64,0.68,0.62,0.52,0.51,0.54,0.41,0.35,0.36,0.88,0.77,0.83,0.8,0.93,0.86,0.87,0.88,0.86,0.72,0.77,0.74,0.62,0.58,0.62,0.99,1.0,0.95,0.95,0.96,0.93,0.94,0.95,0.93,0.94,0.91,0.91,0.85,0.88,0.88,0.9,0.97,0.91,0.68,0.87,0.74,0.78,0.88,0.82,0.67,0.72,0.7,0.62,0.6,0.61,0.95,0.89,0.95,0.81,0.94,0.87,0.87,0.9,0.88,0.77,0.79,0.77,0.76,0.74,0.73